"",genderLabel,article
Jens Schröter,männlich,https://de.wikipedia.org/wiki/Jens_Schr%C3%B6ter_(Medienwissenschaftler)
Volkhard Krech,männlich,https://de.wikipedia.org/wiki/Volkhard_Krech
Werner Konold,männlich,https://de.wikipedia.org/wiki/Werner_Konold
Sabira Ståhlberg,weiblich,https://de.wikipedia.org/wiki/Sabira_St%C3%A5hlberg
Cécile La Grenade,weiblich,https://de.wikipedia.org/wiki/C%C3%A9cile_La_Grenade
Stephan Hoppe,männlich,https://de.wikipedia.org/wiki/Stephan_Hoppe
Friedrich Glauner,männlich,https://de.wikipedia.org/wiki/Friedrich_Glauner
Peter Kenning,männlich,https://de.wikipedia.org/wiki/Peter_Kenning
Denis Le Bihan,männlich,https://de.wikipedia.org/wiki/Denis_Le_Bihan
Natalja Petrowna Alexandrowitsch,weiblich,https://de.wikipedia.org/wiki/Natalija_Petrowna_Alexandrowitsch
Erika Jensen-Jarolim,weiblich,https://de.wikipedia.org/wiki/Erika_Jensen-Jarolim
Damaris Nübling,weiblich,https://de.wikipedia.org/wiki/Damaris_N%C3%BCbling
Alex Kontorovich,männlich,https://de.wikipedia.org/wiki/Alex_Kontorovich
Dirk Ifenthaler,männlich,https://de.wikipedia.org/wiki/Dirk_Ifenthaler
Emmanuelle Charpentier,weiblich,https://de.wikipedia.org/wiki/Emmanuelle_Charpentier
Mark S. Lundstrom,männlich,https://de.wikipedia.org/wiki/Mark_S._Lundstrom
Monica Olvera de la Cruz,weiblich,https://de.wikipedia.org/wiki/Monica_Olvera_de_la_Cruz
Peter Becker,männlich,https://de.wikipedia.org/wiki/Peter_Becker_(Historiker)
Andreas Fickers,männlich,https://de.wikipedia.org/wiki/Andreas_Fickers
Märija Omarowa,weiblich,https://de.wikipedia.org/wiki/M%C3%A4rija_Omarowa
Adah Almutairi,weiblich,https://de.wikipedia.org/wiki/Adah_Almutairi
Charles Lee,männlich,https://de.wikipedia.org/wiki/Charles_Lee_(Genetiker)
Fei-Fei Li,weiblich,https://de.wikipedia.org/wiki/Fei-Fei_Li
Jutta Röser,weiblich,https://de.wikipedia.org/wiki/Jutta_R%C3%B6ser
Martin Jinek,männlich,https://de.wikipedia.org/wiki/Martin_Jinek
Daniel J. Drucker,männlich,https://de.wikipedia.org/wiki/Daniel_J._Drucker
Aglaée Degros,weiblich,https://de.wikipedia.org/wiki/Agla%C3%A9e_Degros
Igor Michailowitsch Tschubarow,männlich,https://de.wikipedia.org/wiki/Igor_Michailowitsch_Tschubarow
Dieter D. Genske,männlich,https://de.wikipedia.org/wiki/Dieter_D._Genske
Martin Langner,männlich,https://de.wikipedia.org/wiki/Martin_Langner
Susanne Rau,weiblich,https://de.wikipedia.org/wiki/Susanne_Rau
Nils Röller,männlich,https://de.wikipedia.org/wiki/Nils_R%C3%B6ller
Rainer Pöttgen,männlich,https://de.wikipedia.org/wiki/Rainer_P%C3%B6ttgen
Esther Gajek,weiblich,https://de.wikipedia.org/wiki/Esther_Gajek
Derek Muller,männlich,https://de.wikipedia.org/wiki/Derek_Muller
Malte Rehbein,männlich,https://de.wikipedia.org/wiki/Malte_Rehbein
Thomas Jüstel,männlich,https://de.wikipedia.org/wiki/Thomas_J%C3%BCstel
Susanne Pfeffer,weiblich,https://de.wikipedia.org/wiki/Susanne_Pfeffer
Wolfgang Weitnauer,männlich,https://de.wikipedia.org/wiki/Wolfgang_Weitnauer
Hakima El Haite,weiblich,https://de.wikipedia.org/wiki/Hakima_El_Hait%C3%A9
Robert Gramsch,männlich,https://de.wikipedia.org/wiki/Robert_Gramsch
Robert-Jan Smits,männlich,https://de.wikipedia.org/wiki/Robert-Jan_Smits
Ronny Rößler,männlich,https://de.wikipedia.org/wiki/Ronny_R%C3%B6%C3%9Fler
Rudolf Grünig,männlich,https://de.wikipedia.org/wiki/Rudolf_Gr%C3%BCnig
Sean Hartnoll,männlich,https://de.wikipedia.org/wiki/Sean_Hartnoll
Heiner Fangerau,männlich,https://de.wikipedia.org/wiki/Heiner_Fangerau
Pol D. Spanos,männlich,https://de.wikipedia.org/wiki/Pol_D._Spanos
Alexander Wladimirowitsch Antonow,männlich,https://de.wikipedia.org/wiki/Alexander_Wladimirowitsch_Antonow
Hans Dickel,männlich,https://de.wikipedia.org/wiki/Hans_Dickel
Henrik Lund,männlich,https://de.wikipedia.org/wiki/Henrik_Lund_(Ingenieurwissenschaftler)
Mareike König,weiblich,https://de.wikipedia.org/wiki/Mareike_K%C3%B6nig
Anat Berko,weiblich,https://de.wikipedia.org/wiki/Anat_Berko
Markus Löffler,männlich,https://de.wikipedia.org/wiki/Markus_L%C3%B6ffler_(Biometriker)
Alexei Leonidowitsch Rastorgujew,männlich,https://de.wikipedia.org/wiki/Alexei_Leonidowitsch_Rastorgujew
Smita Nair Jain,weiblich,https://de.wikipedia.org/wiki/Smita_Nair_Jain
Deborah Persaud,weiblich,https://de.wikipedia.org/wiki/Deborah_Persaud
Annalena Schmidt,weiblich,https://de.wikipedia.org/wiki/Annalena_Schmidt
Christian Rapp,männlich,https://de.wikipedia.org/wiki/Christian_Rapp_(Autor)
Miroslav Rudenko,männlich,https://de.wikipedia.org/wiki/Myroslaw_Rudenko
Gabriela González,weiblich,https://de.wikipedia.org/wiki/Gabriela_Gonz%C3%A1lez
